step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,imbalance_active,upsilon_beta_ratio,convergence_error,phase_limit,structural_deviation,emission_count,psi_transformed,microtick_phase
0,1,11,13,13,11,288,143,True,13,True,0.7159763313609467,0.6982372310121484,2.414213562373095,1.6982372310121483,0,True,1
0,2,11,13,13,11,433,143,True,13,True,0.7159763313609467,0.6982372310121484,1.4142135623730951,0.6982372310121484,1,True,2
0,3,11,13,13,11,578,143,True,13,True,0.7159763313609467,0.6982372310121484,0.7071067811865475,0.008869550174399277,2,True,3
0,4,1,1,1,1,721,143,True,13,True,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,3,True,4
0,5,1,1,1,1,864,143,True,13,True,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,4,True,5
0,6,1,1,1,1,1007,143,True,13,True,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,5,True,6
0,7,1,1,1,1,1150,143,True,13,True,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,6,True,7
0,8,1,1,1,1,1293,143,True,13,True,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,7,True,8
0,9,1,1,1,1,1436,143,True,13,True,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,8,True,9
0,10,1,1,1,1,1579,143,True,13,True,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,9,True,10
0,11,1,1,1,1,1722,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
1,1,1,1,1,1,1865,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
1,2,1,1,1,1,2008,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
1,3,1,1,1,1,2151,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
1,4,1,1,1,1,2294,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
1,5,1,1,1,1,2437,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
1,6,1,1,1,1,2580,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
1,7,1,1,1,1,2723,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
1,8,1,1,1,1,2866,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
1,9,1,1,1,1,3009,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
1,10,1,1,1,1,3152,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
1,11,1,1,1,1,3295,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
2,1,1,1,1,1,3438,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
2,2,1,1,1,1,3581,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
2,3,1,1,1,1,3724,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
2,4,1,1,1,1,3867,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
2,5,1,1,1,1,4010,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
2,6,1,1,1,1,4153,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
2,7,1,1,1,1,4296,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
2,8,1,1,1,1,4439,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
2,9,1,1,1,1,4582,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
2,10,1,1,1,1,4725,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
2,11,1,1,1,1,4868,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
3,1,1,1,1,1,5011,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
3,2,1,1,1,1,5154,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
3,3,1,1,1,1,5297,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
3,4,1,1,1,1,5440,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
3,5,1,1,1,1,5583,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
3,6,1,1,1,1,5726,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
3,7,1,1,1,1,5869,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
3,8,1,1,1,1,6012,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
